uniqueid,hhid,surveyid,surveyor,surveydate,surveytime,survey_complete,superpresent,scrutinizedyn,backcheckedyn,sex,age,educ,income,addressdur,addressdur_unit,areadur,areadur_unit,occupation,occupationother,castename,castecode,literateyn,treatment,own4wheeleryn,own4wheelernum,own4wheelervalue,own4wheelertheft,own4wheelertheftnum,theftfromcaryn,theftfromcarnum,own2wheeleryn,own2wheelernum,own2wheelervalue,own2wheelertheft,own2wheelertheftnum,own2wheelertheftvictim_1,own2wheelertheftvictim_2,cycleownyn,cycleownnum,cycleownvalue,cycletheftyn,cycletheftnum,cycletheftvictim_1,cycletheftvictim_2,burglaryyn,burglarynum,attemptedburglaryyn,attemptedburglarynum,vandalismyn,vandalismnum,trespassingyn,trespassingnum,robberyyn,robberynum,robberyvictim_1,robberyvictim_2,theftyn,theftnum,theftvictim_1,theftvictim_2,thanavisityn,thanavisitreason,thanavisitreason_other,surveytime2,thanavisitreason_other2,exit,base_age,base_income,base_educ
16,1103021,80,Caroline,08152013,7922,1,0,1,0,1,35,14,2092,35,2,35,4,7,,MITTAL,2,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,3459,1,1,4,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,To say hello/to chat,,132.03334,NA,1,34,2492,Graduate
17,1103042,96,Caroline,10272014,5010,1,0,1,1,1,45,9,1944,45,1,45,1,10,,BANIYA,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,83.5,NA,1,44,1826,9
18,1103043,76,Caroline,11152014,7813,1,0,1,0,2,38,0,4295,60,3,60,4,1,,SHARMA,1,0,1,2,NA,NA,NA,NA,NA,NA,1,1,2802,2,NA,NA,NA,1,1,3481,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,130.21666,NA,1,37,831,None or anganwadi
19,1103051,68,Benjamin,10102014,8061,1,0,1,0,2,31,4,1754,16,1,16,1,2,,RAJPUT,1,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,134.35001,NA,1,30,2380,4
20,1103053,97,Benjamin,11242013,6401,1,0,1,0,1,1979,0,1748,45,1,14,3,1,,MUSLIM,6,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3049,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,106.68333,NA,1,1979,3785,None or anganwadi
21,1104002,82,Joseph,10142014,7442,0,0,1,NA,1,60,8,3736,60,1,60,2,1,,GURJAR,2,1,1,2,NA,NA,NA,NA,NA,NA,1,1,3287,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,Other,RAJINAMA KARANE,NA,NA,NA,NA,NA,NA
22,1104005,93,Grace,12282014,7590,1,1,1,0,2,38,0,3082,10,1,10,1,1,,GUJAR,2,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,126.5,NA,1,37,2858,None or anganwadi
23,1104012,90,Peter,12272013,5739,1,0,1,NA,1,60,0,3538,60,1,60,4,2,, JATAV,2,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2596,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,95.650002,NA,1,59,2290,None or anganwadi
24,1104021,71,David,10152013,6418,1,0,1,NA,1,58,3,2445,58,1,58,4,98,Private School Teacher,PANDIT.,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,106.96667,NA,1,57,3424,3
25,1104025,79,Mary,09202013,7111,1,0,1,0,1,1977,5,2572,62,1,62,1,1,,JATAV,3,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2828,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,To register a Crime,,118.51667,NA,1,1977,1336,5
26,1104029,78,Mary,10232013,7124,1,0,1,0,1,60,0,523,60,1,60,1,1,,AH IR,2,0,0,2,NA,NA,NA,NA,NA,NA,1,1,2731,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,118.73333,NA,1,59,891,None or anganwadi
27,1104036,75,Joseph,09152014,8003,1,0,1,1,1,60,0,2260,60,2,60,3,1,,JAAT,3,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,133.38333,NA,1,59,2200,None or anganwadi
28,1104042,67,David,12292013,7195,1,0,1,0,1,55,5,3578,55,1,55,1,1,,JAATAV,3,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,119.91666,NA,1,54,2340,5
29,1104049,89,David,08172014,7618,1,0,1,1,1,35,0,3538,35,4,35,4,1,,"SAINI,",2,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3319,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,126.96667,NA,1,34,2567,None or anganwadi
30,1104052,92,Joseph,12112014,6614,1,0,1,0,1,27,10,1897,27,1,27,3,1,,GURJAR,2,1,1,1,1,3328,0,NA,0,NA,1,1,3103,2,NA,NA,NA,1,2,3237,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,110.23333,NA,1,26,1838,10
31,1105024,64,Benjamin,09282013,7685,1,0,1,0,2,60,0,2072,60,1,50,1,3,,ROILA,2,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,9046,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,128.08333,NA,1,59,3330,None or anganwadi
32,1105026,29,Joseph,10142014,7788,1,0,1,1,1,1970,0,3083,60,1,60,4,3,,KUMHAR,2,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,1,1,1,NA,1,To answer charges filed against you,,129.8,NA,1,1970,2807,None or anganwadi
33,1105027,13,Joseph,10162014,7784,1,0,1,1,1,78,11,907,78,1,78,3,6,,BRAHMAN,1,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2618,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,129.73334,NA,1,77,479,11
34,1105032,18,Joseph,10232014,6319,1,0,1,0,2,60,0,3073,60,1,60,1,5,,DHANKA,2,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,99,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,105.31667,NA,1,59,2165,None or anganwadi
35,1105037,19,Anna,08182014,7222,1,0,1,0,1,1990,6,1993,68,2,68,3,1,,YADAV,2,1,1,2,NA,NA,NA,NA,NA,NA,1,1,2559,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,120.36667,NA,1,1990,2560,6
36,1105041,23,Anna,11152013,7630,1,0,1,1,2,1976,8,775,35,1,35,4,10,,SHARMA,1,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,3,2520,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,127.16666,NA,1,1976,3866,8
37,1105050,30,Caroline,10102013,7143,1,0,1,0,1,60,8,3697,60,1,60,1,3,,BRAHMAN,1,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3430,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,119.05,NA,1,59,2186,8
38,1105058,16,Joseph,12262014,7387,1,0,1,0,1,27,0,3788,25,2,25,2,10,,SHEIKH,2,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,123.11667,NA,1,26,1994,None or anganwadi
39,1106005,15,Sam,12262013,8115,1,0,1,0,1,21,3,1414,21,2,21,3,1,,YADAV,2,1,1,1,1,2705,0,NA,0,NA,2,NA,NA,NA,NA,NA,NA,1,1,3228,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,135.25,NA,1,20,1153,3
40,1106006,3,Sam,11152013,7348,1,0,1,0,1,70,0,700,70,1,70,2,1,,YADAV,2,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,122.46667,NA,1,69,1282,None or anganwadi
41,1106007,26,Sam,08252014,8289,1,0,1,0,2,50,0,1095,50,1,50,1,1,,YADAV,2,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3046,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,138.14999,NA,1,49,2727,None or anganwadi
42,1106020,20,Grace,11142013,7037,0,0,1,0,1,1982,6,3406,25,2,25,3,5,,YADAV,2,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3346,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,117.28333,NA,1,1982,1675,6
43,1106024,21,Sam,10192013,7261,1,0,1,0,2,33,0,5091,33,2,33,3,9,,YADAV,2,0,1,2,NA,NA,NA,NA,NA,NA,1,1,2824,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,121.01667,NA,1,32,2754,None or anganwadi
44,1106029,32,Sam,12102014,7179,1,0,1,0,1,55,10,1857,55,3,55,4,1,,AHIR,2,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3446,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,119.65,NA,1,54,3717,10
45,1106031,24,Anna,09282014,6545,1,0,1,NA,2,45,0,1968,45,1,28,4,1,,"YADAV,",2,0,1,2,NA,NA,NA,NA,NA,NA,1,1,3452,2,NA,NA,NA,1,1,2658,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,109.08334,NA,1,44,2353,None or anganwadi
46,1107026,45,Peter,11172014,6188,1,0,1,0,1,60,3,1109,8,1,8,2,2,,JA ATAV,2,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2914,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,103.13333,NA,1,59,1485,3
47,1107028,54,Peter,09122013,7177,1,0,1,0,2,1986,12,2218,70,2,40,2,10,,JAIN.,2,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3085,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,119.61667,NA,1,1986,1916,12
48,1107031,47,Peter,09232014,6362,1,0,1,0,1,50,12,2447,14,3,14,3,6,,CHAMAR,3,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,2596,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,106.03333,NA,1,49,2109,12
49,1107034,59,Mary,10142013,7059,1,0,1,1,1,59,5,2162,59,1,59,2,1,,MEENA,2,1,1,1,NA,3486,0,NA,0,NA,1,2,3171,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,117.65,NA,1,58,3405,5
50,1107041,55,David,08192013,6888,1,0,1,0,1,25,11,1428,25,1,25,4,2,,MALI,1,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,114.8,NA,1,24,1450,11
51,1107043,57,David,10162014,6802,0,0,1,0,2,1989,3,3562,70,2,70,4,1,,KUMHAR,2,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3136,2,NA,NA,NA,1,1,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,113.36667,NA,1,1989,4361,3
52,1107045,62,David,08182013,7470,1,1,1,0,1,55,0,2455,55,1,55,2,1,,SAINI,1,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3037,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,1,1,5,NA,2,,,124.5,NA,1,54,3531,None or anganwadi
53,1108001,117,Mary,12272014,6901,0,0,1,NA,1,1979,5,2203,10,1,10,3,98,Government School Teacher,BHAAT.,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,3324,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,115.01667,NA,1,1979,2047,5
54,1108006,7,Mary,11292014,7177,1,0,1,0,1,80,0,1947,80,1,80,2,1,,MEV MUSLIM,NA,0,1,1,NA,3204,0,NA,0,NA,1,1,2897,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,119.61667,NA,1,79,1013,None or anganwadi
55,1108019,27,Peter,09172014,6769,1,0,1,0,1,32,0,3711,15,2,15,2,2,,KOLI,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,3286,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,To register a Crime,,112.81667,NA,1,31,3596,None or anganwadi
56,1108028,14,Benjamin,10112013,8333,1,0,1,0,2,30,0,2108,50,2,50,3,2,,SARDAR,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,138.88333,NA,1,29,1760,None or anganwadi
57,1108033,103,David,12212014,8720,1,1,1,1,2,30,6,2429,35,1,35,2,6,,GURJAR,NA,0,0,2,NA,NA,NA,NA,NA,NA,1,1,3269,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,145.33333,NA,1,29,1154,6
58,1108036,111,David,12262014,6724,1,0,1,0,2,28,15,2269,30,1,5,1,10,,JATAV,NA,1,1,2,NA,NA,NA,NA,NA,NA,1,1,3295,2,NA,NA,NA,1,1,3214,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,112.06667,NA,1,27,1753,Post-graduate
59,1108045,113,Grace,09252013,8255,1,1,1,1,1,40,9,2700,20,1,20,3,5,,JAAT,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,3459,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,137.58333,NA,1,39,1924,9
60,1108049,31,Mary,10302014,6690,1,0,1,1,2,39,0,1273,42,2,42,2,5,,RAJPUT,NA,0,1,2,NA,NA,NA,NA,NA,NA,1,1,3015,2,NA,NA,NA,1,1,2614,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,111.5,NA,1,38,2773,None or anganwadi
61,1108056,109,Joseph,12242013,8375,1,0,1,0,1,30,0,1962,20,1,20,1,2,,JAATAV,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,NA,NA,NA,NA,NA,NA
62,1109009,58,Anna,11262013,6138,1,0,1,NA,1,60,0,2491,60,1,60,1,1,,MEENA,NA,0,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,2587,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,102.3,NA,1,59,3490,None or anganwadi
63,1109037,72,David,10272013,8141,1,0,1,0,2,24,0,1455,26,1,26,3,2,,CHAMAR,3,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,135.68333,NA,1,23,3966,None or anganwadi
64,1109042,81,Anna,12132014,8729,1,1,1,NA,1,42,0,758,42,1,42,1,1,,YADAV,2,0,0,1,1,2793,0,NA,0,NA,2,NA,NA,NA,NA,NA,NA,1,1,2769,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,145.48334,NA,1,41,2342,None or anganwadi
65,1110036,4,Mary,12152014,6580,1,1,1,0,1,1989,9,2554,58,1,58,1,1,,YADAV,2,1,1,1,1,3412,0,NA,0,NA,1,1,3301,2,NA,NA,NA,1,1,2799,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,109.66666,NA,1,1989,1986,9
66,1110049,22,Caroline,12112013,7407,0,0,1,0,2,20,9,2211,45,1,5,1,2,, YADAV,NA,1,0,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,123.45,NA,1,19,2437,9
67,1110050,8,John,09182014,5717,1,0,1,0,1,1974,8,2448,53,3,53,3,1,,AHIR.,NA,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,To say hello/to chat,,95.283333,NA,1,1974,3598,8
68,1110051,17,Mary,10282014,7519,1,0,1,0,1,20,11,1673,20,1,20,4,2,,HARIJAN,3,1,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,2,3124,2,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,1,Other,CHARACTER CERTIFICATE,125.31667,NA,1,19,2515,11
69,1111034,108,Grace,11242013,6874,1,0,1,0,1,40,0,3517,40,2,40,4,1,,SAINI,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,114.56667,NA,1,39,3256,None or anganwadi
70,1111046,357,Sam,10142014,6458,1,0,1,0,1,35,0,3489,35,1,35,4,2,,BA LAI,NA,0,1,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,2,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,2,,,107.63333,NA,1,34,347,None or anganwadi
